"post_id","campaign","story_angle","distillation_filter","content_channel","topic","hook","caption_text","lore_refs","classified_status","platforms","format_instagram","format_twitter","format_facebook","visual_direction","prompt_template","asset_ids","status","scheduled_date","scheduled_time","target_audience","hashtags","cta_type","cta_link","published_url","performance_impressions","performance_engagement","performance_clicks","performance_notes"
"BHV-20260406-001","arc1-welcome-to-bharatvarsh","bharatsena","living_without_religion","declassified_report","Temple Repurposing Directive — Lakshmanpur Senate","The Lakshmanpur Mandir was redesignated as Senate Chamber 7 in 1984. Attendance has improved.","DIRECTIVE 1984-R/07 — FACILITY REPURPOSING ORDER. The Lakshmanpur Mandir — sandstone shikhara, water-mirror forecourt, 340 years of continuous worship — was redesignated as Senate Chamber 7 on March 14, 1984. The forecourt now hosts security screening. The inner sanctum seats 220 legislators. Attendance at senate sessions averages 94%. Attendance at prayer averaged 12% in the final decade. The Directorate considers this an improvement in civic utility. Structural modifications were minimal — the architecture was already built for congregation. A plaque at the entrance reads: 'This building serves the people. It always did.' Former devotees may apply for basement meditation permits (Form R-17, processing time: 6-8 weeks). welcometobharatvarsh.com","Bible:World:ReligionBanned,Bible:Locations:Lakshmanpur:HeritageMicroSets","declassified","instagram,twitter,facebook","carousel","single_tweet","post","Jim Lee architectural composition — the Lakshmanpur Mandir repurposed as a senate chamber. Sandstone shikhara tower rising against an obsidian sky. The forecourt water-mirror reflecting both the ancient architecture and modern security scanner arches installed at the entrance. Inside visible through grand arched doorway: legislative seating rows replacing prayer mats. A biometric scanner bollard stands where a murti once did. Dense cross-hatching on sandstone textures. Holographic senate schedule floating near the entrance in translucent cyan. A single saffron thread caught on a stone pillar — the only remaining trace. Document border overlay with DECLASSIFIED stamp, reference number, and Directorate seal. Cinematic wide shot, slightly low angle to emphasise the building's monumental scale.","declassified_report","","rendered","06-04-2026","10:00","A,B,C","#Bharatvarsh #NoReligion #ReclaimedSpaces #AlternateHistory #IndianSciFi #WorldBuilding","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260409-001","arc1-welcome-to-bharatvarsh","akakpen","med_mil_progress","graffiti_photo","Drone-Jammer Valley — The Silence Above","Where the drones stop, the sky begins.","Where the drones stop, the sky begins. — scratched into a cedar trunk at the edge of the Treaty Zone. welcometobharatvarsh.com","Bible:World:EasternTreatyZone,Bible:Timeline:TeestaaTreaty,Bible:Characters:Rudra","declassified","instagram,twitter","feed_post","single_tweet","","Jim Lee atmospheric landscape — the edge of the Eastern & Himalayan Treaty Zone where Bharatsena surveillance ends. A towering cedar forest at a mountain pass. In the foreground, a fallen Bharatsena hovercam lies inert on mossy rocks, its blue scanner light dead — brought down by tribal drone-jammer technology. Beyond the tree line, the valley opens to unmonitored sky — vast, clear, almost alien in its emptiness compared to the gridded skies over Bharatvarsh cities. Mist curls through the cedars. A narrow footpath disappears into the forest. On one cedar trunk, barely visible, text is carved into bark. Dense hatching on bark textures and mountain rock. Earth-tone palette (Deep Green #162B18, Bark Brown #4E3B2A) with the dead hovercam's fading cyan glow as the only tech accent. Cinematic wide shot with dramatic depth — foreground debris, mid-ground forest, background open sky. Composition follows rule of thirds with the dead drone at the lower-left intersection point.","graffiti_photo","","rendered","09-04-2026","18:30","A,B","#Bharatvarsh #TreatyZone #TheSilenceAbove #WhereTheDronesStop #IndianSciFi #AlternateHistory","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260412-001","arc1-welcome-to-bharatvarsh","bharatsena","med_mil_progress","news_article","1717 Divergence — The Charter That Was Never Signed","BHARATVARSH NATIONAL ARCHIVES — 308 YEARS OF SOVEREIGNTY","[BVN-24x7 SPECIAL REPORT] NATIONAL ARCHIVES RELEASE — 308 YEARS OF UNBROKEN SOVEREIGNTY. On this day in 1717, Emperor Farrukhsiyar refused to sign the East India Company's trade charter — the document that would have opened the subcontinent to colonial extraction. The coast remained a doorway, not a wound. Three centuries later, Bharatvarsh holds a permanent UN Security Council seat, co-developed the atom bomb as an equal partner, and exports green technology to 140 nations. Our GDP has never left the global top three. Historian-General Mehra notes: 'The refusal was not visionary. It was practical. Farrukhsiyar simply did not see the value in the deal.' The British Empire found its fortunes elsewhere. Bharatvarsh found its own. Full archive access: welcometobharatvarsh.com","Bible:Timeline:1717Divergence,Bible:World:GlobalStanding,Bible:Economy:GreenTechExports","declassified","twitter,instagram,facebook","feed_post","single_tweet","post","React-rendered newspaper front page from BVN-24x7 (Bharatvarsh's state news network). Period-meets-modern editorial design: a broadsheet layout with the BVN-24x7 masthead in clean institutional typography at top. Hero image area shows a Jim Lee split composition — left side: 1717 Mughal court scene with Emperor Farrukhsiyar seated on throne, East India Company representatives being turned away, rich period detail on court architecture and robes, dense linework. Right side: modern Bharatvarsh cityscape with OxyPoles, glide-cars, UNSC flag alongside national flag on government building. The split uses a diagonal tear effect as if the page itself bridges time periods. Below the image: columnar newspaper text (illegible at post resolution but structured to look authentic). Dateline reads 'Indrapur Bureau — National Day Special Edition'. Colour palette: aged newsprint cream background (#F5F0E1) with navy (#0D1B2A) masthead and text blocks. Subtle paper texture grain overlay.","news_article","","rendered","12-04-2026","10:00","A,B,C","#Bharatvarsh #1717 #NeverColonised #AlternateHistory #IndianSciFi #WhatIf","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260415-001","arc1-welcome-to-bharatvarsh","tribhuj","novel_intro","graffiti_photo","Trident on the Wall — Sector 7 Graffiti","The trident was painted sometime between 03:17 and 03:22. The Mesh was watching. It saw nothing.","[INCIDENT LOG — MESH ANOMALY] Sector 7, Lakshmanpur. A Grey Trident — symbol of the banned Tribhuj movement — appeared on the east wall of Block 14-C between 03:17 and 03:22 on October 18, 2025. Two days before the bombings. The Mesh was watching. Coverage: 100%. Sensor uptime: 100%. It saw nothing. welcometobharatvarsh.com","Bible:Characters:Rudra:Tribhuj,Bible:Timeline:2010Bombings,Bible:World:LawOrder","declassified","instagram,twitter","feed_post","single_tweet","","Jim Lee close-up composition — a concrete wall in Lakshmanpur's Sector 7. The Grey Trident of Tribhuj spray-painted large across raw concrete: three prongs representing three faiths pointing to a common purpose. The paint is rough, urgent, imperfect — real street art, not corporate design. Around the trident, the wall shows layers of history: faded government posters ('HARMONY IS ORDER'), a torn Festive Fortnight banner, water stains, pipe shadows. A single Bharatsena CCTV camera mounted above the wall is clearly functional — its red LED indicator glowing — yet the trident exists beneath it. A small orange cloth strip is tied to a pipe near the base of the wall. The surrounding area is empty, wet from overnight rain, reflecting a distant OxyPole glow. Dense cross-hatching on concrete texture. Heavy blacks dominating the composition. The trident catches faint amber street light. Shot framed tight on the wall with the camera visible at top edge — the tension between surveillance and resistance in a single frame.","graffiti_photo","","rendered","15-04-2026","20:00","A,B","#Bharatvarsh #GreyTrident #Tribhuj #WhoDidThis #IndianSciFi #Mystery","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260418-001","arc1-welcome-to-bharatvarsh","bharatsena","living_without_religion","news_article","Basement Meditation Permits — Form R-17","Applications for private contemplation permits increased 340% this quarter. All were processed within guidelines.","[BVN-24x7 CIVIC DESK] Basement Meditation Permit applications rose 340% in Q3 2025, according to the Department of Civic Harmony. Under Directive 1984-R, citizens may apply for Form R-17 to conduct private contemplation in designated basement spaces. Processing time: 6-8 weeks. Approval rate: 23%. A Department spokesperson clarified: 'Contemplation is not prohibited. Congregation is regulated. There is a difference.' Denied applicants may re-apply after a 90-day cooling period. The Department reminds citizens that public spaces — parks, libraries, and community halls — are available for secular reflection at no permit cost. Related: Senate Chamber 7 (formerly Lakshmanpur Mandir) reports record legislative attendance for the third consecutive year. Full civic services directory: welcometobharatvarsh.com","Bible:World:ReligionBanned,Bible:World:LawOrder,Bible:Themes:EngineeredConsent","declassified","twitter,facebook","feed_post","single_tweet","post","React-rendered news broadcast screenshot from BVN-24x7. Clean broadcast layout: network logo top-left (BVN-24x7 in institutional sans-serif on navy bar), lower-third chyron bar in navy with mustard accent stripe reading 'CIVIC DESK | BASEMENT MEDITATION PERMITS UP 340%'. Main frame shows a Jim Lee interior scene — a small basement room with bare concrete walls, a single warm-tone light hanging from a low ceiling. A middle-aged citizen sits cross-legged on a mat, eyes closed. On the wall behind them, a framed Form R-17 approval certificate hangs next to a small government-issued 'APPROVED CONTEMPLATION SPACE' plaque. The room is sparse but not bleak — there's dignity in it. Through a narrow window near the ceiling, the blue glow of an OxyPole is visible outside. Dense linework on concrete textures. The broadcast frame includes a scrolling ticker at bottom with other headlines (illegible but structured). Colour: navy (#0D1B2A) broadcast chrome, mustard (#FFB703) accent bars, warm interior light contrasting with cold exterior glow.","news_article","","rendered","18-04-2026","12:00","B,C","#Bharatvarsh #FormR17 #LivingWithoutReligion #Contemplation #IndianSciFi #DystopianFiction","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260421-001","arc2-characters-and-stakes","bharatsena","novel_intro","declassified_report","Major Kahaan — Officer Profile","22 years. Zero infractions. Psychological profile: [REDACTED].","22 years. Zero infractions. Psychological profile: [REDACTED]. — DECLASSIFIED EXCERPT — The following personnel record was released under Directive 2026-D/03. SUBJECT: Major Kahaan. DESIGNATION: Senior Investigation Officer, Division Head. SERVICE NUMBER: MID-042-[REDACTED]. YEARS IN SERVICE: 22. COMMENDATIONS: 17. INFRACTIONS: 0. He graduated first in his cohort at the Bharatsena Advanced Training Institute. His specialisation: high-topology anomaly investigation. On 21 October 2025, seven cities burned simultaneously. The Mesh was watching. The Mesh saw nothing. Operation 20-10 was activated. Major Kahaan was assigned as Chief Investigative Officer with full Omega-level clearance. 'He will find what we cannot find. He always has. Give him what he asks for.' welcometobharatvarsh.com","Bible:Characters:Kahaan,Bible:Timeline:2010Bombings,Bible:World:MeshIntelligence","declassified","instagram,twitter,facebook","carousel","thread","post","Jim Lee 5-panel carousel: Panel 1 cover portrait of Major Kahaan in Bharatsena dress uniform with cyan-glowing scar. Panel 2 service record dossier layout. Panel 3 medical incident record. Panel 4 Operation 20-10 briefing room — hero image. Panel 5 CTA slide. Dense cross-hatching, obsidian-navy palette with mustard-gold accents and cyan tech glow.","declassified_report","","rendered","21-04-2026","12:00","A,B,C","#Bharatvarsh #KahaanFile #MeshIntelligence #WhoIsHe #21Oct2025 #IndianSciFi #DystopianFiction #AlternateHistory #CyberpunkIndia #WelcomeToBharatvarsh","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260427-001","arc2-characters-and-stakes","bharatsena","med_mil_progress","news_article","Bracecomm 4.0 — 98.6% Adoption. Zones 4 & 5: Zero Crime.","The citizen who wears it is known. The citizen who is known is safe.","98.6% adoption. Zones 4 & 5: Zero Crime. The citizen who wears it is known. The citizen who is known is safe. — Dept. of Civic Harmony, October 15, 2025. What does a world without crime cost? welcometobharatvarsh.com","Bible:World:Bracecomm,Bible:World:LawOrder,Bible:Themes:EngineeredConsent","declassified","instagram,twitter,facebook","reel","single_tweet","post","Video content — branded Remotion timeline with Context B overlays (film grain, vignette, faction colors). Instagram Reel 9:16 and landscape trailer 16:9. Bracecomm device close-up, holographic UI elements, citizen scanning sequences. Obsidian-navy palette with mustard-gold and cyan accents. Animated text overlays with propaganda typography.","news_article","","rendered","27-04-2026","12:00","A,B,C","#Bharatvarsh #Bracecomm #ZeroCrime #TheCitizenWhoIsKnown #October2025 #IndianSciFi #DystopianFiction","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260430-001","arc2-characters-and-stakes","akakpen","novel_intro","graffiti_photo","Rudra — The Mountain Shadow","Twenty years in the mountains. The army forgot him. The mountains didn't.","He disbanded the movement himself. Walked into the snow and answered to nothing but ""dada"" for twenty years. Tended terraces. Taught village children breath-control and sling-shot geometry. The Directorate marked him ""neutralised"" in 2003 and moved his file to deep archive. But the Eastern Treaty Zone still whispers his name when the cedar smoke rises. The Grey Trident on his chest never faded. Neither did the promise. welcometobharatvarsh.com","Bible:Characters:Rudra,Bible:Timeline:TeestaaTreaty,Bible:World:EasternTreatyZone","declassified","instagram,twitter,facebook","feed_post","single_tweet","post","Jim Lee atmospheric portrait — Rudra in the Nepal-Treaty Hills. Full beard, topknot, olive-hooded jacket over tan undershirt. Standing at the edge of a mountain terrace overlooking a fog-filled valley. The Grey Trident tattoo visible through an open collar. Earth-tone palette (Deep Green #162B18, Bark Brown #4E3B2A). Cedar trees frame the composition. No tech visible — this world has no Mesh, no OxyPoles, no hovercams. A curved machete rests against a stone wall behind him. Morning light catches mountain fog. Dense cross-hatching on bark and stone textures. Cinematic medium shot, rule of thirds with Rudra at right intersection, valley depth at left.","graffiti_photo","","planned","30-04-2026","18:30","A,B,C","#Bharatvarsh #TheMountainShadow #Rudra #GreyTrident #TreatyZone #IndianSciFi #AlternateHistory #WelcomeToBharatvarsh","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260503-001","arc2-characters-and-stakes","tribhuj","novel_intro","news_article","20-10: Seven Cities Burn","Seven cities. Seven explosions. Zero warnings. The Mesh was watching. The Mesh saw nothing.","[BVN-24x7 BREAKING] October 20, 2025. 19:47 IST. Coordinated detonations confirmed across seven cities: Bhojpal. Mysuru. Gopakapattana. Jammu. Kathmandu. Kolkata. Lakshmanpur. Decoy devices drew first responders off-route before the real charges detonated — stations, markets, civic hubs. Hundreds confirmed dead. Thousands injured. The attackers invoked a name banned for almost half a century: TRIBHUJ. The Mesh — 100% urban coverage, 98.6% Bracecomm adoption, emotional micro-expression recognition, algorithmic checkpoints at computed intervals — detected nothing. No chatter. No anomalies. No warnings. Who attacks a nation that watches everything? welcometobharatvarsh.com","Bible:Timeline:2010Bombings,Bible:World:MeshIntelligence,Bible:Characters:Rudra:Tribhuj","declassified","instagram,twitter,facebook","carousel","thread","post","React-rendered BVN-24x7 breaking news broadcast — multi-panel carousel. Panel 1: Red BREAKING NEWS banner, split-screen showing smoke columns rising from seven cities on a national map, each marked with an explosion icon and city name. Urgent broadcast chrome. Panel 2: Jim Lee street-level scene — a marketplace in ruins, shattered glass, overturned stalls, dust cloud illuminated by emergency lights. Civilians running. A Bracecomm on a fallen arm still glowing cyan. Panel 3: The Mesh control room — holographic city grids showing seven simultaneous red zones. Operators frozen at consoles. The screens that see everything showing ANOMALY: NONE. Panel 4: Close-up of a wall where a neon-geometric corrupted trident — New Tribhuj — has been spray-painted. Below it: WE REMEMBER WHAT YOU ERASED. Panel 5: CTA slide. Obsidian-navy palette with emergency red (#FF2D2D) accent. Broadcast ticker running at bottom.","news_article","","rendered","03-05-2026","10:00","A,B,C","#Bharatvarsh #2010 #SevenCities #TheMeshSawNothing #WhoAttacks #IndianSciFi #AlternateHistory #DystopianFiction #WelcomeToBharatvarsh","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260506-001","arc2-characters-and-stakes","bharatsena","novel_intro","declassified_report","General Pratap — 47 Years. One Vision.","47 years of service. Every war won by the man who never pulled a trigger himself.","DECLASSIFIED — DIRECTORATE PERSONNEL ARCHIVE, REF: GP-DPA/1978-01. SUBJECT: General Pratap. DESIGNATION: Supreme Commander, General Directorate. SERVICE: 47 years (unbroken). In 1978, a dying democracy signed its power to the army for one year. General Pratap was a young colonel then. He is the Supreme Commander now. The emergency never ended. Under his command: the Mesh was deployed, the caste system was dismantled, religion was regulated, green-tech exports reached 140 nations, and crime in urban zones approached zero. He is 85 years old. He looks 65. Anti-ageing serum — military-grade, 15 years before civilian release. His officers call him ""the Architect."" His critics have not been heard from since 1984. Every system in Bharatvarsh — from the OxyPoles that clean the air to the Bracecomms that track the wrists — traces back to a single signature on a single directive. Psychological profile: [REDACTED]. Succession plan: [REDACTED]. welcometobharatvarsh.com","Bible:Characters:Pratap,Bible:Timeline:1978Emergency,Bible:World:PoliticalStructure","declassified","instagram,twitter,facebook","carousel","thread","post","Jim Lee 4-panel carousel dossier. Panel 1: Cover portrait — General Pratap in full Directorate high command uniform, dark navy long coat with gold epaulettes, chest covered in service decorations and campaign ribbons. Silver-streaked hair swept back. Piercing calculating eyes. Hands clasped behind back. Standing in the Directorate war room with holographic city grids behind him. Obsidian-navy background. DECLASSIFIED stamp and reference number. Panel 2: Timeline infographic — key milestones from 1978 emergency to present, React-rendered with institutional typography and data bars. Panel 3: Split image — left half shows 1978 streets in chaos (riots, fire, broken glass), right half shows 2025 gleaming city (OxyPoles, glide-cars, orderly checkpoints). The same signature on both eras. Panel 4: Close-up on his back — the large gold/bronze circular emblem (crossed weapons/laurel wreath) on the back of his tunic. Below it: SUCCESSION PLAN: [REDACTED]. CTA slide. Navy #0B2742 dominant with mustard-gold #F1C232 accents.","declassified_report","","planned","06-05-2026","12:00","A,B,C","#Bharatvarsh #GeneralPratap #TheArchitect #47Years #OneVision #IndianSciFi #DystopianFiction #AlternateHistory #WelcomeToBharatvarsh","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260509-001","arc2-characters-and-stakes","bharatsena","novel_intro","graffiti_photo","Hana — Overwatch","She sees everything from up here. The question is what she does with it.","Major Hana. Bharatsena. The only officer who can tell him ""No."" She graduated top-three in long-range tactical operations. Her assignment: overwatch. Her vantage: rooftops, always. Her record: impeccable. Her opinion: the one thing the chain of command has never been able to classify. There is a difference between watching and seeing. She has always known which one matters. welcometobharatvarsh.com","Bible:Characters:Hana,Bible:World:MeshIntelligence","declassified","instagram,twitter","feed_post","single_tweet","","Jim Lee atmospheric rooftop composition — Hana in dark tactical bodysuit, crouched at the edge of a building overlooking the Bharatvarsh city skyline at dusk. Sniper rifle with scope resting on a low parapet wall. Holographic HUD elements floating near her position — targeting data, wind speed, grid coordinates in faint cyan. The city below is immaculate: OxyPoles glowing, glide-car lanes lit, surveillance hovercams visible as tiny blue dots in the mid-distance. But Hana is not looking through the scope — she is looking at the city with bare eyes, expression contemplative, almost troubled. Short dark hair with side-swept fringe catches the wind. The composition contrasts the cold precision of her equipment with the warmth in her gaze. Dense linework on architectural textures. Navy-blue sky fading to obsidian at top. Cool urban blues (#0B2742, #C9DBEE) with warm amber from the setting sun on her face. Cinematic wide-medium shot, Hana at lower right, cityscape sprawling left.","graffiti_photo","","planned","09-05-2026","20:00","A,B","#Bharatvarsh #Hana #Overwatch #TheOneWhoSaysNo #IndianSciFi #DystopianFiction #WelcomeToBharatvarsh","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260512-001","arc2-characters-and-stakes","akakpen","novel_intro","declassified_report","Kaali — The Wounded Queen","37 years of unbroken leadership. ICU Bed 4. Oxygen mask. Half her face bandaged.","INTERCEPTED — BHARATSENA INTELLIGENCE BRIEF, REF: AKP-SIGINT/2025-10-22. SUBJECT: Kaali, designated Queen of Akakpen. STATUS: Critical — ICU, Treaty Zone field hospital. BURNS: Grade III, 40% coverage. PROGNOSIS: Uncertain. For 37 years, Kaali held the Eastern Treaty Zone together. Every trade negotiation, every ceasefire renewal, every dispute between mountain clans — her word was final. The Directorate's own analysts concede she accomplished through respect what the Mesh accomplishes through surveillance. The bombings reached even the Treaty Zone. When the blast wave hit, she was in a market square — the one place in Bharatvarsh where a leader walks without guards because she does not need them. She needs them now. Intelligence assessment: if Kaali dies, the Treaty Zone fractures within 90 days. Her last conscious instruction, relayed through her daughter: a name. A promise. A summons to the mountains. welcometobharatvarsh.com","Bible:Characters:Kaali,Bible:World:EasternTreatyZone,Bible:Timeline:2010Bombings","declassified","instagram,twitter,facebook","carousel","single_tweet","post","Jim Lee 3-panel carousel intelligence brief. Panel 1: Cover — Kaali portrait pre-injury. Late 50s, tribal matriarch with commanding presence. Weathered face carrying decades of mountain leadership. Traditional Akakpen garments with earth tones and functional orange accents. Eyes fierce and wise. INTERCEPTED stamp, intelligence reference number, Bharatsena classified border. Panel 2: Medical report layout — hospital ICU scene. Kaali unconscious, oxygen mask, half-head bandaged, burns visible on arms. Monitors displaying vitals. The field hospital is makeshift — cedar beam ceiling, stone walls, but medical equipment is advanced. A single marigold flower on the bedside table. Dense emotional weight. Panel 3: Map overlay — the Eastern Treaty Zone highlighted, with intelligence annotations: STABILITY ASSESSMENT: CRITICAL. SUCCESSION: UNCLEAR. RECOMMENDED ACTION: [REDACTED]. The daughter's name — in Devanagari — appears in a handwritten note clipped to the file. CTA slide. Earth tones (Deep Green, Bark Brown) with clinical white for the medical panels. Marigold #FFC933 as emotional accent.","declassified_report","","planned","12-05-2026","12:00","A,B,C","#Bharatvarsh #Kaali #QueenOfAkakpen #TreatyZone #TheWoundedQueen #IndianSciFi #DystopianFiction #AlternateHistory #WelcomeToBharatvarsh","website","https://welcometobharatvarsh.com","","","","",""
"BHV-20260515-001","arc2-characters-and-stakes","tribhuj","novel_intro","news_article","The Pamphlet Rain — Festival Fortnight","The band finished their set. Then the sky rained paper.","[BVN-24x7 — FOOTAGE RECOVERED] Lakshmanpur. Festival Fortnight, October 20, 2025. The open-mic stage. A band nobody recognised took the stage at 19:32. They played three songs. The crowd loved it. At 19:41, the lead singer raised his fist. The speakers cut. And from somewhere above the stage — from the lighting rigs, from the scaffolding, from places the Mesh should have been watching — thousands of pamphlets rained down on the crowd. Each one stamped with the Grey Trident. Each one carrying a single message. The band walked off stage and disappeared into the crowd. Festival security footage shows them entering. It does not show them leaving. welcometobharatvarsh.com","Bible:Timeline:FestiveFortnight,Bible:Characters:Jwala,Bible:Characters:Rudra:Tribhuj","declassified","instagram,twitter","reel","single_tweet","","Video content / reel format — branded Remotion timeline with Context B overlays. Opening: Festival Fortnight crowd scene — holographic stage lights, joyful atmosphere, Lakshmanpur festival grounds packed. Quick cut: a band on stage, silhouetted against cyan stage lighting. The lead singer raises a fist. Hard cut to black for 0.5s. Then: pamphlets falling in slow motion — hundreds of grey-printed sheets tumbling through stage lights. Close-up of one pamphlet: the Grey Trident printed in grey ink, text below visible but illegible at reel resolution. Crowd faces shift from confusion to shock to something harder to name. Cut to: CCTV footage aesthetic — grainy, timestamped, the band entering the festival. Fast-forward. The same camera angle. They never appear leaving. End card: The Mesh was watching. The Mesh saw nothing. Film grain overlay, vignette, festival colour palette shifting from warm celebration to cold surveillance blue. Animated text overlays with urgent typography.","news_article","","planned","15-05-2026","20:00","A,B","#Bharatvarsh #PamphletRain #FestiveFortnight #GreyTrident #TheBandVanished #IndianSciFi #DystopianFiction #WelcomeToBharatvarsh","website","https://welcometobharatvarsh.com","","","","",""
